"page","top","left","src","ocr","matched"
"1","56","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_12.jpg","",""
"1","56","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_9.jpg","RIDLE BAKU 8-4-1998 1 1,76m 1 79kg RB LEIPZIG (GER)",""
"1","56","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_10.jpg","SERGE GNABRV 14-7-1995 1 1,76m 1 75kg r-c BAYERN MÜNCHEN (GERI",""
"1","56","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_14.jpg","FLORIAN WIRTZ 3-5-2003 | I nkg","GER 5"
"1","333","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_11.jpg","ANTONIO RÜDIGER 3-3-1993 1 1 85 kg REAL MADRID",""
"1","333","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_13.jpg","FIFA FELIX NMECHA 10-10-2000 1 1 73kg BORUSSIA DORTMUND (GER)",""
"1","333","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_8.jpg","NICO SCHLOTTERBECK BORUSSIA DORTMUND (GER)",""
"1","333","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_7.jpg","FIFA NICK WOLTEMADE 14-2-2002 1 1,98m 1 90kg NEWCASTLE UNITED FC (ENG)","GER 11"
"1","610","29","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_6.jpg","MAXIMILIAN MITTELSTÀDT 18-3-1997 | L80m 1 71kg VFBSTUTTGART(GER)",""
"1","610","238","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_5.jpg","MARC-ANDRÉ TER STEGEN 30-4-1992 1 187 m | 85 kg FC BARCELONA (ESP)",""
"1","610","447","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_1.jpg","JAMAL MUSIALA 26-2-2003 | 1,86m 1 75kg FC BAYERN MÜNCHEN (GER)","GER 8"
"1","610","655","C:\Users\nicol\Documents\DigitalPanini2026Manager\tmp_pdf_figus\figus-1_4.jpg","FIFA LEON GORETZKA 6-2-1995 1 1,8911 1 79kg","GER 7"
